lab,grade,fake_name
lab_08,2,pensive-noyce
lab_08,2,laughing-leakey
lab_08,2,dreamy-visvesvaraya
lab_08,2,wonderful-tesla
lab_08,2,naughty-albattani
lab_08,2,peaceful-snyder
lab_08,1,determined-banach
lab_08,0,heuristic-benz
lab_08,3,clever-neumann
lab_08,3,awesome-golick
lab_08,2,vigorous-chandrasekhar
lab_08,2,goofy-bohr
lab_08,2,eager-mestorf
