course,completed,fake_name
dc_11,1,wonderful-tesla
dc_01,1,naughty-albattani
dc_03,1,naughty-albattani
dc_04,1,naughty-albattani
dc_05,1,naughty-albattani
dc_06,1,naughty-albattani
dc_07,1,naughty-albattani
dc_08,1,naughty-albattani
dc_09,1,naughty-albattani
dc_10,1,naughty-albattani
dc_11,1,naughty-albattani
dc_01,1,peaceful-snyder
dc_03,1,peaceful-snyder
dc_04,1,peaceful-snyder
dc_05,1,peaceful-snyder
dc_06,1,peaceful-snyder
dc_07,1,peaceful-snyder
dc_08,1,peaceful-snyder
dc_09,1,peaceful-snyder
dc_10,1,peaceful-snyder
dc_11,1,peaceful-snyder
dc_01,1,determined-banach
dc_03,1,determined-banach
dc_04,1,determined-banach
dc_05,1,determined-banach
dc_06,1,determined-banach
dc_07,0,determined-banach
dc_08,0,determined-banach
dc_09,1,determined-banach
dc_10,1,determined-banach
dc_11,1,determined-banach
dc_01,1,heuristic-benz
dc_03,1,heuristic-benz
dc_04,1,heuristic-benz
dc_05,1,heuristic-benz
dc_06,1,heuristic-benz
dc_07,1,heuristic-benz
dc_08,1,heuristic-benz
dc_09,1,heuristic-benz
dc_10,1,heuristic-benz
dc_11,0,heuristic-benz
dc_01,1,clever-neumann
dc_03,1,clever-neumann
dc_04,1,clever-neumann
dc_05,1,clever-neumann
dc_06,1,clever-neumann
dc_07,1,clever-neumann
dc_08,1,clever-neumann
dc_09,1,clever-neumann
dc_10,1,clever-neumann
dc_11,1,clever-neumann
dc_01,1,awesome-golick
dc_03,1,awesome-golick
dc_04,1,awesome-golick
dc_05,1,awesome-golick
dc_06,1,awesome-golick
dc_07,1,awesome-golick
dc_08,1,awesome-golick
dc_09,1,awesome-golick
dc_10,1,awesome-golick
dc_11,1,awesome-golick
dc_01,1,vigorous-chandrasekhar
dc_03,1,vigorous-chandrasekhar
dc_04,1,vigorous-chandrasekhar
dc_05,1,vigorous-chandrasekhar
dc_06,1,vigorous-chandrasekhar
dc_07,1,vigorous-chandrasekhar
dc_08,1,vigorous-chandrasekhar
dc_09,1,vigorous-chandrasekhar
dc_10,1,vigorous-chandrasekhar
dc_11,1,vigorous-chandrasekhar
dc_01,1,goofy-bohr
dc_03,1,goofy-bohr
dc_04,0,goofy-bohr
dc_05,1,goofy-bohr
dc_06,1,goofy-bohr
dc_07,1,goofy-bohr
dc_08,1,goofy-bohr
dc_09,1,goofy-bohr
dc_10,0,goofy-bohr
dc_11,0,goofy-bohr
dc_01,1,eager-mestorf
dc_03,1,eager-mestorf
dc_04,1,eager-mestorf
dc_05,1,eager-mestorf
dc_06,1,eager-mestorf
dc_07,1,eager-mestorf
dc_08,1,eager-mestorf
dc_09,1,eager-mestorf
dc_10,1,eager-mestorf
dc_11,1,eager-mestorf
